Country,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Austria,,,40299,43329,41044,42610,36235,32907,30250,28227,23797,25892,23853,22729,20043,24166
Belgium,53504,52262,56332,56645,54749,51774,49416,47083,48727,42935,39181,41661,39307,41525,40357,37867
Bulgaria,2979,3326,2795,2865,2382,2433,4886,4195,9340,9521,8322,6167,6577,5149,4185,4301
Croatia,9166,8984,9430,11181,11179,11353,11551,9551,9999,8229,7295,7767,7784,7063,7882,7952
Cyprus,1017,861,853,1053,1168,945,895,948,1082,996,1030,936,851,722,779,878
Czechia,,,,,,,5564,5549,7438,6803,5317,5003,4200,3821,3491,
Denmark,29612,26914,,31598,29139,26717,,,26290,24058,21498,21211,17825,17403,18692,18506
Estonia,3130,3620,3701,3998,4505,5809,5653,4982,4162,4538,4616,3821,2977,4241,7671,7039
Finland,25206,28276,37124,32343,29176,27825,25085,23393,21754,22629,20083,20378,19711,18524,16508,16293
France,,,,,,,,208479,206614,197651,187761,,172401,174870,177964,157008
Germany,354813,375379,364685,358951,344947,325102,302594,292227,282177,253525,237150,236478,231007,235842,239951,248355
Greece,,,,,,17995,17741,23748,22422,,,,,,,
Hungary,7907,7504,7113,7081,8591,6959,6473,6617,6487,5545,5219,5989,5789,4828,5459,4667
Ireland,17307,20074,23240,21448,18296,16767,16021,15047,15861,15325,16376,17569,19788,21865,23354,18523
Italy,59273,61997,64214,75818,75023,73804,65679,61145,62845,65839,73527,76891,79245,76827,81356,85612
Latvia,3895,4063,4826,6706,7024,5173,6488,7521,6244,6554,10215,9240,7864,7378,8688,6704
Lithuania,3092,3013,2962,3078,3218,2622,2288,2524,2730,2354,3006,2258,2220,2189,1839,1734
Luxembourg,1899,3006,3558,3533,2284,2525,2624,,,2069,1802,2225,2546,1976,1219,1372
Malta,126,282,283,447,626,739,775,472,537,429,403,388,445,623,635,598
Netherlands,16450,18695,17900,19107,18064,18687,21118,20503,21387,17130,18200,17420,14905,17076,18862,19399
Norway,14954,17518,25798,28793,31633,33585,36184,,48152,48428,45070,42101,44741,38515,36738,40755
Poland,37572,36050,34056,34366,30873,32600,31008,30638,29060,,76239,74535,72375,68288,57382,63007
Portugal,15578,8308,7728,11900,12901,16970,17073,16102,14105,14288,14779,13076,13635,13897,11967,11946
Romania,9243,7819,6610,8101,8487,4952,4002,4224,2407,2459,2872,3456,3852,,3727,2749
Slovakia,1312,1718,1494,1247,,1692,,969,1147,1191,1214,1204,1135,1079,912,786
Slovenia,1382,5363,5287,5945,,,4235,,4519,5329,5392,5616,4174,4244,5100,3720
Spain,414551,364908,361886,416047,395233,389229,405348,,415354,400280,426707,422726,,,,278797
Sweden,113475,118105,124044,113071,106521,100447,90883,94035,95324,99175,97379,91997,90070,82008,88025,86701
Türkiye,246237,215771,159268,148821,144819,118482,81222,73017,77664,98933,83133,67099,81960,46816,15433,10627
United Kingdom,,,,,,108027,106862,115377,128260,139803,144434,154212,152451,147013,149203,135655
